DATE,NAME,LOCATION,LOCATION_NOTES,WEBSITE,FACEBOOK,INSTAGRAM,STORY,VIDEO
2024-03-14,Ovidio Italian Restaurant,"3097 W Bullard Ave, Fresno, CA 93711",,https://ovidiofresno.com/,https://www.facebook.com/OvidioFresno,https://www.instagram.com/ovidiofresno/,https://abc30.com/ovidios-dine-and-dish-northwest-fresno-italian-food/14524843/,https://abc30.com/video/embed/?pid=14526106
2024-03-07,H & W Drive-In,"121 W 16th St, Merced, CA 95340",,N/A,https://www.facebook.com/hwdrivein/,N/A,https://abc30.com/dine-and-dish-hw-drive-in-merced-restaurant/14500921/,https://abc30.com/video/embed/?pid=14502289
2024-02-29,La Elegante Taqueria,"1423 Kern St, Fresno, CA 93706",,https://laelegantetaqueria.com/,https://www.facebook.com/LaEleganteTacos/,https://www.instagram.com/_laelegante/,https://abc30.com/dine-and-dish-la-elegante-taqueria-downtown-fresno/14480307/,https://abc30.com/video/embed/?pid=14481204
2024-02-22,Sierra Subs & Salad,"41651 Sierra Dr, Three Rivers, CA 93271",,https://www.sierrasubsandsalads.com/,N/A,https://www.instagram.com/sierrasubsandsalads/,https://abc30.com/dine-and-dish-sierra-subs-three-rivers-yelp-rating/14457336/,https://abc30.com/video/embed/?pid=14458921
2024-02-15,The Vintage Press Restaurante,"216 N Willis St, Visalia, CA 93291",,https://www.thevintagepress.com/,https://www.facebook.com/tvpvisalia,https://www.instagram.com/vintagepressvisalia/,https://abc30.com/14430744/,https://abc30.com/video/embed/?pid=14430715
2024-02-08,Lotus Kitchen,"1432 N Cedar Ave UNIT 106, Fresno, CA 93703",,https://lotuskitchen559.wixsite.com/lotuskitchen,https://www.facebook.com/lotuskitchenfresno/,https://www.instagram.com/lotuskitchen559/,https://abc30.com/dine-and-dish-lotus-kitchen-central-fresno-restaurant/14400592/,https://abc30.com/video/embed/?pid=14401827
2024-02-01,Sunset Sports Bar,"17225 Jersey Ave, Lemoore, CA 93245",,https://www.tachipalace.com/dining/,https://www.facebook.com/tachipalace/,https://www.instagram.com/tachipalace,https://abc30.com/dine-and-dish-tachi-palace-casino-resort-sunset-sports-bar/14379590/,https://abc30.com/video/embed/?pid=14379604
2024-01-25,Country Hub Cafe,"5020 19 1/2 Ave, Riverdale, CA 93656",,https://www.thecountryhubcafe.com/,N/A,N/A,https://abc30.com/dine-and-dish-county-hub-cafe-riverdale-grilled-burgers/14361065/,https://abc30.com/video/embed/?pid=14361159
2024-01-18,Sticky Icky BBQ,"628 O St, Sanger, CA 93657",,N/A,https://www.facebook.com/p/The-Sticky-Icky-Barbeque-Co-Featuring-Uncle-George-Kebab-100088502265252/,N/A,https://abc30.com/dine-and-dish-sticky-icky-barbecue-sanger-location/14337584/,https://abc30.com/video/embed/?pid=14338553
2024-01-11,Red Caboose Cafe,"5054 N Academy Ave Ste E, Clovis, CA 93619",,https://www.redcaboosecafe.com/,https://www.facebook.com/red.caboose.77/,N/A,https://abc30.com/dine-and-dish-restaurant-clovis-red-caboose-cafe/14311973/,https://abc30.com/video/embed/?pid=14313242
2024-01-04,Kerman Country Cafe,"651 S Madera Ave, Kerman, CA 93630",,N/A,https://www.facebook.com/kermancountrycafe/,N/A,https://abc30.com/kerman-country-cafe-breakfast-food-large-portions-dine-and-dish/14276490/,https://abc30.com/video/embed/?pid=14276545
2023-12-28,Colorado Grill,"46 E Herndon Ave, Fresno, CA 93720",Multiple locations,https://www.coloradogrillrestaurants.com/,https://www.facebook.com/coloradogrillburgers/,https://www.instagram.com/colorado_grill/,https://abc30.com/dine-and-dish-colorado-grill-north-fresno-burgers/14235440/,https://abc30.com/video/embed/?pid=14236809
2023-12-21,Butter + Milk Biscuit Bar,"3129 W Noble Ave, Visalia, CA 93277",,https://www.butterplusmilk.com/,https://www.facebook.com/butterplusmilk/,https://www.instagram.com/butterplusmilk/,https://abc30.com/dine-and-dish-visalia-butter-milk-biscuit-bar/14212389/,https://abc30.com/video/embed/?pid=14213470
2023-12-14,Parma Ristorante,"6729 N Palm Ave # 101, Fresno, CA 93704",,https://parmaristorantefresno.com/,https://www.facebook.com/joemastro1944/,https://www.instagram.com/parmafresno/,https://abc30.com/dine-and-dish-local-restaurant-parma-ristorante-norhtwest-fresno/14185403/,https://abc30.com/video/embed/?pid=14185519
2023-12-07,Cafe Lafayette,"151 S E St A, Exeter, CA 93221",,https://www.cafelafayette.com/,https://www.facebook.com/eatcafelafayette,https://www.instagram.com/cafelafayette151/,https://abc30.com/dine-and-dish-valley-restaurant-cafe-lafayette-exeter-location/14151809/,https://abc30.com/video/embed/?pid=14152718
2023-11-30,Tacos Jacinto,"4593 N Cedar Ave, Fresno, CA 93726",food truck,N/A,https://www.facebook.com/tacosjacinto1/,https://www.instagram.com/tacos.jacinto/,https://abc30.com/dine-and-dish-food-truck-birria-tacos-consomme/14125481/,https://abc30.com/video/embed/?pid=14125498
2023-11-16,Grandma Jane's Kitchen,"943 E St, Fresno, CA 93706",,N/A,N/A,https://www.instagram.com/grandmajaneskitchen/?hl=en,https://abc30.com/dine-and-dish-grandma-janes-ktichen-downtown-fresno-chinatown/14071367/,https://abc30.com/video/embed/?pid=14072904
2023-11-09,Ramen Hayashi,"6443 N Riverside Dr Ste 101c, Fresno, CA 93722",Multiple locations,https://ramenhayashi.com/,https://www.facebook.com/ramenhayashi/,https://www.instagram.com/ramenhayashi/,https://abc30.com/dine-and-dish-ramen-hayashi-northwest-fresno-clovis/14035457/,https://abc30.com/video/embed/?pid=14036856
2023-11-02,Elbow Room,"731 W San Jose Ave, Fresno, CA 93704",,https://elbowroomfresno.com/,https://www.facebook.com/ElbowRoomFresno,https://www.instagram.com/elbowroomfresno,https://abc30.com/dine-and-dish-elbow-room-northwest-fresno-restaurant/14004805/,https://abc30.com/video/embed/?pid=14006005
2023-10-26,Main Street Cafe,"1052 G St, Reedley, CA 93654",,https://www.mainstreetcafereedley.com/,https://www.facebook.com/MainstreetCafe1052G/,https://www.instagram.com/mainstreetcafereedley/,https://abc30.com/dine-and-dish-downtown-reedley-mainstreet-cafe-restaurant/13976804/,https://abc30.com/video/embed/?pid=13978087
